song,angry_agressive,arousing_awakening,bizarre_weird,calming_soothing,carefree_lighthearted,cheerful_festive,emotional_passionate,exciting_thrilling,happy,laid-back_mellow,light_playful,loving_romantic,pleasant_comfortable,positive_optimistic,powerful_strong,sad,tender_soft,touching_loving
kansas-carry_on_wayward_son,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
kanye_west-gold_digger,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kenji_williams-i_m_alive,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
king_crimson-thela_hun_ginjeet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kiss-deuce,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
kokoon-order,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
kool_and_the_gang-funky_stuff,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0
kourosh_zolani-peaceful_planet,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kraftwerk-spacelab,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kris_kristofferson-the_best_of_all_possible_worlds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lambert_hendricks_and_ross-gimme_that_wine,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
led_zeppelin-immigrant_song,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
leonard_cohen-suzanne,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1
lisa_debenedictis-fruitless,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
live-lightning_crashes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
liz_phair-supernova,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ll_cool_j-mama_said_knock_you_out,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
los_lobos-corrido_1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
lou_reed-walk_on_the_wild_side,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
louis_armstrong-hotter_than_that,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0
love-you_set_the_scene,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
love_and_rockets-mirror_people,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lynyrd_skynyrd-sweet_home_alabama,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
macy_gray-i_try,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1
madness-baggy_trousers,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
madonna-ray_of_light,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
mamas_and_the_papas-words_of_love,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
manassas-bound_to_fall,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
marvelettes-please_mr._postman,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
marvin_gaye-whats_going_on,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
mary_wells-my_guy,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1
massive_attack-risingson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mazzy_star-fade_into_you,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
mc_hammer-u_cant_touch_this,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
memories_of_tomorrow-transcend_fate_of_a_dj,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
men_at_work-who_can_it_be_now,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0
metallica-one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
michael_jackson-billie_jean,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
michael_masley-advice_from_the_angel_of_thresholds,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
miles_davis-blue_in_green,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
moby-porcelain,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
modest_mouse-what_people_are_made_of,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
monkees-a_little_bit_me_a_little_bit_you,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0
monoide-golden_key,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
morrissey-everyday_is_like_sunday,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
mose_allison-monsters_of_the_id,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
mott_the_hoople-roll_away_the_stone,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
mr_epic-ruff_and_tumble,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
mr_gelatine-knysnamushrooms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mrdc-leaving,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muddy_waters-im_ready,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
muddy_waters-mannish_boy,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
my_bloody_valentine-when_you_sleep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myles_cochran-getting_stronger,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
napoleon_blown_aparts-higher_education,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
natalie_imbruglia-torn,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
neil_young-razor_love,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1
neil_young_and_crazy_horse-western_hero,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0
nelly-country_grammar,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0
neutral_milk_hotel-where_youll_find_me_now,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
new_order-blue_monday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nine_inch_nails-head_like_a_hole,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nirvana-aneurysm,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
no_doubt-artificial_sweetener,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
no_doubt-simple_kind_of_life,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
norah_jones-dont_know_why,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1
norine_braun-spanish_banks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nova_express-i_m_alive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oasis-supersonic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ojays-livin_for_the_weekend,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0
olivia_tremor_control-i_have_been_floated,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
otis_redding-mr._pitiful,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
outkast-ms._jackson,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
panacea-dragaicuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
pantera-becoming,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
paul_mccartney-ebony_and_ivory,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
pearl_jam-yellow_ledbetter,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
pet_shop_boys-being_boring,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
pink_floyd-echoes,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pixies-wave_of_mutilation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pizzle-what_s_wrong_with_my_footm,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
pj_harvey-dry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
police-every_little_thing_she_does_is_magic,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1
portishead-all_mine,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
pretenders-day_after_day,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
primus-jerry_was_a_race_car_driver,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
processor-nibtal_7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
propellerheads-take_california,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
psychedelic_furs-love_my_way,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psychetropic-dead_slow_day,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
queen-we_will_rock_you,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0
r.e.m.-camera,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radiohead-karma_police,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0
rage_against_the_machine-maggies_farm,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
ramones-i_just_want_to_have_something_to_do,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
randy_newman-sail_away,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ray_charles-hit_the_road_jack,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
red_hot_chili_peppers-give_it_away,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0
replacements-answering_machine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rick_james-super_freak,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
robert_johnson-sweet_home_chicago,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rocket_city_riot-mine_tonite,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
rolling_stones-little_by_little,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ronettes-walking_in_the_rain,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1
roots_of_rebellion-legend,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
roxy_music-love_is_the_drug,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
roy_orbison-running_scared,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
rubn_gonzlez-cumbanchero,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0
rufus_wainwright-cigarettes_and_chocolate_milk,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0
sade-smooth_operator,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1
santana-love_of_my_life,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1
sarah_mclachlan-possession,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
saros-prelude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scott_hill-silk_road,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
screaming_trees-nearly_lost_you,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sebadoh-soul_and_fire,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
seismic_anamoly-wreckinball,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sex_pistols-pretty_vacant,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
shakira-the_one,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1
shane_jackman-set_fire_to_the_city,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1
sheryl_crow-i_shall_believe,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
shins-new_slang,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1
shira_kammen-music_of_waters,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
shiva_in_exile-hollow_earth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shuggie_otis-sweet_thang,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
simon_and_garfunkel-the_only_living_boy_in_new_york,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1
sinad_oconnor-no_mans_woman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sir_mix-a-lot-baby_got_back,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
skitzo-last_depression,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sly_and_the_family_stone-just_like_a_baby,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0
small_faces-lazy_sunday,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
smashing_pumpkins-rocket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smithereens-behind_the_wall_of_sleep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smiths-how_soon_is_now,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
smokey_robinson-cruisin,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1
smokey_robinson_and_the_miracles-ooo_baby_baby,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
snoop_doggy_dogg-gin_and_juice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solace-laz_7_8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
somadrone-coda,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
sonic_youth-teen_age_riot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sonny_rollins-strode_rode,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0
soul_ii_soul-keep_on_movin,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1
soulprint-crawlspace,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
soundgarden-black_hole_sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
specials-gangsters,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
spencer_davis_group-gimme_some_lovin,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0
spice_girls-stop,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0
spinecar-stay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spiritualized-stop_your_crying,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1
squarepusher-a_journey_to_reedham_(7am_mix),0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
squeeze-pulling_mussels_from_the_shell,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
stan_getz-corcovado_quiet_nights_of_quiet_stars,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1
standells-dirty_water,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
starship-nothings_gonna_stop_us_now,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
steely_dan-rikki_dont_lose_that_number,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
steppenwolf-born_to_be_wild,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
stereolab-cybeles_reverie,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
stevie_ray_vaughan-pride_and_joy,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0
stevie_wonder-for_once_in_my_life,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
sting-big_lie_small_world,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
stone_roses-i_wanna_be_adored,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stooges-dirt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
stranglers-golden_brown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strawbs-new_world,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strojovna_07-130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
style_council-headstart_for_happiness,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1
sundays-heres_where_the_story_ends,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0
superchunk-slack_motherfucker,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweet-fox_on_the_run,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
syd_barrett-effervescing_elephant,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
sylvester-you_make_me_feel_mighty_real,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
syreeta-what_love_has_joined_together,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1
t._rex-children_of_the_revolution,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
talking_heads-and_she_was,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tears_for_fears-everybody_wants_to_rule_the_world,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0
teenage_fanclub-the_concept,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
television-venus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
temptations-since_i_lost_my_baby,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1
thelonious_monk-epistrophy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
they_might_be_giants-i_should_be_allowed_to_think,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0
thin_lizzy-dont_believe_a_word,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
third_eye_blind-semi-charmed_life,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
throwing_muses-hate_my_way,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
thursday_group-like_white_on_rice,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
tilopa-kyo_rei,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0
tim_buckley-morning_glory,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0
tim_hardin-dont_make_promises,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
tim_rayborn-yedi_tekrar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
todd_rundgren-bang_the_drum_all_day,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
tom_paul-little_part_of_me,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
tom_petty-i_wont_back_down,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tom_petty_and_the_heartbreakers-dont_come_around_here_no_more,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tom_waits-time,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
tommy_james_and_the_shondells-i_think_were_alone_now,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0
tori_amos-professional_widow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
touchinggrace-wild_spring_apples,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
traffic-pearly_queen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tricky-christiansands,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
troggs-wild_thing,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0
turtles-elenore,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
u2-hold_me_thrill_me_kiss_me_kill_me,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ultravox-dancing_with_tears_in_my_eyes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncle_tupelo-the_long_cut,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
urge_overkill-sister_havana,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
utopia_banished-by_mourning,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
van_halen-aint_talkin_bout_love,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
van_morrison-and_it_stoned_me,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
vapors-turning_japanese,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
velvet_underground-new_age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
version-universal_humans,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
very_large_array-psychedelic_baby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
violent_femmes-blister_in_the_sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
war-all_day_music,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
weezer-buddy_holly,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0
wes_montgomery-bumpin,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
west_exit-nocturne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
white_stripes-hotel_yorba,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0
whitney_houston-how_will_i_know,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
who-bargain,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
wicked_allstars-happy,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
wicked_boy-pressure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wilco-kingpin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
williamson-whats_on_the_ceiling_beats_whats_on_tv,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xtc-love_at_first_sight,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
yakshi-chandra,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
yeah_yeah_yeahs-maps,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
yes-leave_it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yo_la_tengo-tom_courtenay,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
young_mc-bust_a_move,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
young_rascals-baby_lets_wait,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
zapp-dance_floor,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
zombies-beechwood_park,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
